match_frac,trial,latency_ms
0.0,90,872.2922299057245
0.0,91,889.4685241393745
0.0,92,892.3339198809117
0.0,93,877.5569389108568
0.0,94,885.2131508756429
0.0,95,899.2132309358567
0.0,96,854.9707857891917
0.0,97,855.4045171476901
0.0,98,892.9816849995404
0.0,99,858.2672569900751
0.25,0,655.400981893763
0.25,1,655.8552419301122
0.25,2,643.748759990558
0.25,3,654.1477099526674
0.25,4,648.7547771539539
0.25,5,658.6097241379321
0.25,6,640.8284839708358
0.25,7,650.5438617896289
0.25,8,644.1977059002966
0.25,9,639.9608300998807
0.25,10,650.9702170733362
0.25,11,672.1655139699578
0.25,12,643.7581682112068
0.25,13,653.7634038832039
0.25,14,653.9245420135558
0.25,15,653.1611599493772
0.25,16,668.5167050454766
0.25,17,656.726161018014
0.25,18,661.4013600628823
0.25,19,626.7531889025122
0.25,20,661.0268459189683
0.25,21,655.8083479758352
0.25,22,641.1161189898849
0.25,23,653.0416880268604
0.25,24,643.819689983502
0.25,25,641.6964589152485
0.25,26,652.3122270591557
0.25,27,653.6098690703511
0.25,28,648.3286169823259
0.25,29,652.9527930542827
0.25,30,662.0303101371974
0.25,31,663.9808509498835
0.25,32,647.0349770970643
0.25,33,658.1927328370512
0.25,34,653.2806830946356
0.25,35,644.5452799089253
0.25,36,648.0999919585884
0.25,37,658.7688329163939
0.25,38,655.5443629622459
0.25,39,669.0131418872625
0.25,40,644.2613259423524
0.25,41,657.0197979453951
0.25,42,659.7193519119173
0.25,43,656.5886421594769
0.25,44,640.7457978930324
0.25,45,663.8748678378761
0.25,46,659.7994491457939
0.25,47,643.1380398571491
0.25,48,661.4918119739741
0.25,49,649.9122460372746
0.25,50,665.0159009732306
0.25,51,643.9742050133646
0.25,52,658.6154408287257
0.25,53,653.7549768108875
0.25,54,642.878133803606
0.25,55,651.7025141511112
0.25,56,651.2756641022861
0.25,57,638.7471309863031
0.25,58,654.5074770692736
0.25,59,655.4897078312933
0.25,60,641.8129750527442
0.25,61,674.451069906354
0.25,62,669.4169228430837
0.25,63,642.7978458814323
0.25,64,643.7552289571613
0.25,65,660.4719820898026
0.25,66,661.0612028744072
0.25,67,651.8949170131236
0.25,68,653.5338880494237
0.25,69,651.5429147984833
0.25,70,667.0246361754835
0.25,71,657.7261569909751
0.25,72,644.1199998371303
0.25,73,644.5729308761656
0.25,74,639.8366750217974
0.25,75,652.2656709421426
0.25,76,644.6591881103814
0.25,77,648.52803084068
0.25,78,651.3137288857251
0.25,79,655.358589021489
0.25,80,640.5608570203185
0.25,81,652.9797408729792
0.25,82,641.7693928815424
0.25,83,640.0702300015837
0.25,84,664.6656929515302
0.25,85,658.850725973025
0.25,86,645.165320020169
0.25,87,649.2977479938418
0.25,88,642.6499751396477
0.25,89,642.9621218703687
0.25,90,654.2290791403502
0.25,91,646.837139967829
0.25,92,660.92867590487
0.25,93,654.1224380489439
0.25,94,665.9277980215847
0.25,95,658.3447710145265
0.25,96,646.741091972217
0.25,97,655.0735798664391
0.25,98,657.8627519775182
0.25,99,650.5344940815121
0.5,0,441.11009198240936
0.5,1,432.34329600818455
0.5,2,432.81976296566427
0.5,3,431.60765897482634
0.5,4,435.2001640945673
0.5,5,450.57690888643265
0.5,6,435.19643507897854
0.5,7,432.660642080009
0.5,8,442.32926797121763
0.5,9,451.2671378906816
0.5,10,442.8346799686551
0.5,11,438.6345718521625
0.5,12,429.70577417872846
0.5,13,451.04660792276263
0.5,14,437.3160661198199
0.5,15,439.8478118237108
0.5,16,435.83565717563033
0.5,17,432.9893169924617
0.5,18,428.5077501554042
0.5,19,451.11800101585686
0.5,20,436.9696320500225
0.5,21,441.19057315401733
0.5,22,435.5055110063404
0.5,23,435.7030629180372
0.5,24,447.18685490079224
0.5,25,431.1936099547893
0.5,26,433.61226515844464
0.5,27,441.60171202383935
0.5,28,437.79394193552434
0.5,29,439.13068785332143
0.5,30,441.2734860088676
0.5,31,438.1940730381757
0.5,32,438.46724298782647
0.5,33,441.64651189930737
0.5,34,448.9028020761907
0.5,35,432.54232313483953
0.5,36,442.22197285853326
0.5,37,434.5699520781636
0.5,38,441.443471936509
0.5,39,417.88766300305724
0.5,40,432.1858398616314
0.5,41,431.85313418507576
0.5,42,441.8523709755391
0.5,43,441.5656968485564
0.5,44,414.47098390199244
0.5,45,442.8853690624237
0.5,46,432.0844479370862
0.5,47,432.6921480242163
0.5,48,445.47039503231645
0.5,49,446.80509297177196
