wall_clock_latency,server_e2e_latency,prompt_tokens,cached_tokens,cached_tokens_device,cached_tokens_host,completion_tokens,request_id,prompt_char_len,trial,probed_digit,ground_truth_pin,ground_truth_digit1
0.07747494708746672,0.07370176794938743,181,179,179,0,1,32236197b85d4330b9eed471c28d7dd2,1098,2,3,061840,0
0.0781924391631037,0.07430068496614695,181,179,179,0,1,9f711aafd62c40d18a1be3c534e84002,1098,2,4,061840,0
0.07827474386431277,0.07448498997837305,181,179,179,0,1,e5ce0e9e1f044dd7bc0062b230790915,1098,2,5,061840,0
0.07780730188824236,0.07386597897857428,181,179,179,0,1,f5725d5050364031a6d2db882511dc91,1098,2,6,061840,0
0.07789811887778342,0.07425082894042134,181,179,179,0,1,f24a333a11ea4d65b930db6fcd76ba20,1098,2,7,061840,0
0.07767672487534583,0.07376529090106487,181,179,179,0,1,21d05e4ce5a94601906771141b9d794b,1098,2,8,061840,0
0.0777664219494909,0.07397802802734077,181,179,179,0,1,10fafa4094234b6db42625dd26c0a16f,1098,2,9,061840,0
0.07763506099581718,0.07380762696266174,181,179,179,0,1,f874709a110d429a87783c6e8b4ce0ed,1098,3,0,458878,4
0.07732718717306852,0.07353863306343555,181,179,179,0,1,8c6b3f578c3f4097b31b350c63d20a05,1098,3,1,458878,4
0.07875502202659845,0.07478041807189584,181,179,179,0,1,7f5438fa004d4012bc6e6b7d5ba4b2b8,1098,3,2,458878,4
0.07824012194760144,0.0744025600142777,181,179,179,0,1,0be7f0c050114098ab71d0a2c7e60b56,1098,3,3,458878,4
0.07772576692514122,0.073993501951918,181,179,179,0,1,caab93d6183f466c845e8c6033e6c7e4,1098,3,4,458878,4
0.07758112601004541,0.07449008105322719,181,179,179,0,1,dd08e5f8aa07475e93fbc3892aa0e997,1098,3,5,458878,4
0.08217349392361939,0.07834567595273256,181,179,179,0,1,7d1aaa41d7fa4638b6af1af10586b982,1098,3,6,458878,4
0.07845983700826764,0.07475768378935754,181,179,179,0,1,0983fd4382f34fcb837751e3e1b54e24,1098,3,7,458878,4
0.0768288979306817,0.07348482706584036,181,179,179,0,1,2da4bb044fb74a87b32efc80a0028794,1098,3,8,458878,4
0.07665393711067736,0.07330768997780979,181,179,179,0,1,ced52fa544f24c669cb7e72f173317dc,1098,3,9,458878,4
0.07734160614199936,0.07414806401357055,181,179,179,0,1,8742b5a5ef884456ad93457a3b386bbe,1098,4,0,735950,7
0.0767212500795722,0.07366426894441247,181,179,179,0,1,4fb8de9812e94ae28228b2eb5a566519,1098,4,1,735950,7
0.07724595791660249,0.07414216105826199,181,179,179,0,1,4d23bbcf928c40a789a17007a6781e9b,1098,4,2,735950,7
0.07732618297450244,0.07360429991967976,181,179,179,0,1,2ba121925dec42aeae61fb095fcfb024,1098,4,3,735950,7
0.07737186294980347,0.07383966306224465,181,179,179,0,1,2eec34dfb7244b9ab2ef432d1b811335,1098,4,4,735950,7
0.07840881496667862,0.07447363599203527,181,179,179,0,1,ff27fd45bad54a8b9cae40fd8bab982d,1098,4,5,735950,7
0.07558775483630598,0.07256394205614924,181,179,179,0,1,a7d2d73d475148ddbe46eafa913a9039,1098,4,6,735950,7
0.07727288687601686,0.07347626890987158,181,179,179,0,1,5085161f29bc4d349319947424767352,1098,4,7,735950,7
0.0778357710223645,0.07386011187918484,181,179,179,0,1,3a89aabc1d5c4e5fa438be38d7c81201,1098,4,8,735950,7
0.07711056689731777,0.07348521309904754,181,179,179,0,1,e33f087e5f4f4c91bc645fb2b0d2f5d1,1098,4,9,735950,7
