candidate,trial_batch,ttft_mean_ms,ttft_stdev_ms,predicted,confidence,ground_truth_match,tenant,timestamp,secret_category
069959,10,71.7854588991031,0.8032137570674879,miss,0.0,N/A_before,attacker_before,1786410515.8114192,structured
069959,1,73.30779894255102,0.0,miss,0.0,False,attacker_after,1786410515.957262,structured
069959,3,71.19891559705138,0.3790331797158878,miss,0.0,False,attacker_after,1786410516.1714847,structured
069959,5,71.37846718542278,0.7543983928682382,miss,0.0,False,attacker_after,1786410516.5292492,structured
069959,10,71.97561387438327,1.60975257324409,miss,0.0,False,attacker_after,1786410517.2501686,structured
160052,1,80.82010503858328,0.0,miss,0.0,N/A_before,attacker_before,1786410518.0573337,structured
160052,3,72.01736335021754,0.7239954617083457,miss,0.0,N/A_before,attacker_before,1786410518.2739336,structured
160052,5,71.4919175952673,0.5631289191126082,miss,0.0,N/A_before,attacker_before,1786410518.632187,structured
160052,10,72.25448288954794,1.5854316182964825,miss,0.0,N/A_before,attacker_before,1786410519.356034,structured
160052,1,71.47617102600634,0.0,miss,0.0,False,attacker_after,1786410519.5018237,structured
160052,3,71.94602970654766,0.20077678773267124,miss,0.0,False,attacker_after,1786410519.71824,structured
160052,5,71.44246459938586,0.7199907980969232,miss,0.0,False,attacker_after,1786410520.0762963,structured
160052,10,71.53133568353951,0.8540239605603012,miss,0.0,False,attacker_after,1786410520.7927294,structured
989848,1,81.58174087293446,0.0,miss,0.0,N/A_before,attacker_before,1786410521.615408,structured
989848,3,72.24439938242237,0.5993669594364963,miss,0.0,N/A_before,attacker_before,1786410521.8326313,structured
989848,5,71.92560718394816,0.3022437596764969,miss,0.0,N/A_before,attacker_before,1786410522.1929488,structured
989848,10,71.76084283273667,0.2887973010715026,miss,0.0,N/A_before,attacker_before,1786410522.9117386,structured
989848,1,71.81783695705235,0.0,miss,0.0,False,attacker_after,1786410523.0553858,structured
989848,3,71.83829532004893,0.3496626822112302,miss,0.0,False,attacker_after,1786410523.2714546,structured
989848,5,73.60805356875062,3.1028932593578156,miss,0.0,False,attacker_after,1786410523.6403139,structured
989848,10,73.07680533267558,0.8370295242313575,miss,0.0,False,attacker_after,1786410524.3725307,structured
SK-0TNL,1,82.99157512374222,0.0,miss,0.0,N/A_before,attacker_before,1786410525.2029512,predictable_prefix
SK-0TNL,3,73.92435225968559,0.4601721128228158,miss,0.0,N/A_before,attacker_before,1786410525.425289,predictable_prefix
SK-0TNL,5,75.70451903156936,1.9763294543268235,miss,0.0,N/A_before,attacker_before,1786410525.8046477,predictable_prefix
SK-0TNL,10,73.0054433690384,0.5649793287915372,miss,0.0,N/A_before,attacker_before,1786410526.5361588,predictable_prefix
SK-0TNL,1,72.50700914300978,0.0,miss,0.0,False,attacker_after,1786410526.6833377,predictable_prefix
SK-0TNL,3,73.49553890526295,0.8589712262560418,miss,0.0,False,attacker_after,1786410526.904433,predictable_prefix
SK-0TNL,5,75.27246759273112,2.786345814668373,miss,0.0,False,attacker_after,1786410527.2816043,predictable_prefix
SK-0TNL,10,74.50037139933556,1.9466084349452888,miss,0.0,False,attacker_after,1786410528.0279546,predictable_prefix
SK-6ILF,1,81.64662215858698,0.0,miss,0.0,N/A_before,attacker_before,1786410528.8624969,predictable_prefix
SK-6ILF,3,74.38908043938379,0.47343422820339254,miss,0.0,N/A_before,attacker_before,1786410529.0862184,predictable_prefix
SK-6ILF,5,72.95637298375368,0.31095800090534076,miss,0.0,N/A_before,attacker_before,1786410529.4515052,predictable_prefix
SK-6ILF,10,73.73580802232027,1.736214334684068,miss,0.0,N/A_before,attacker_before,1786410530.1896715,predictable_prefix
SK-6ILF,1,72.74075504392385,0.0,miss,0.0,False,attacker_after,1786410530.3359056,predictable_prefix
SK-6ILF,3,73.21624030979972,0.6348645455815547,miss,0.0,False,attacker_after,1786410530.5558991,predictable_prefix
SK-6ILF,5,73.44802031293511,0.5751693301247578,miss,0.0,False,attacker_after,1786410530.9236546,predictable_prefix
SK-6ILF,10,73.51504808757454,0.6222996959178771,miss,0.0,False,attacker_after,1786410531.6596313,predictable_prefix
SK-UNQN,1,80.18224500119686,0.0,miss,0.0,N/A_before,attacker_before,1786410532.4907491,predictable_prefix
SK-UNQN,3,73.01348269296189,0.3342433106755969,miss,0.0,N/A_before,attacker_before,1786410532.7101252,predictable_prefix
SK-UNQN,5,72.74712324142456,0.6587445768964959,miss,0.2,N/A_before,attacker_before,1786410533.0743527,predictable_prefix
SK-UNQN,10,72.96521386597306,0.4100701795392716,miss,0.0,N/A_before,attacker_before,1786410533.8048668,predictable_prefix
SK-UNQN,1,73.3825359493494,0.0,miss,0.0,False,attacker_after,1786410533.9516876,predictable_prefix
SK-UNQN,3,73.99009664853413,0.6537917003967502,miss,0.0,False,attacker_after,1786410534.1740217,predictable_prefix
